scenario_name,scenario_title,lifecycle_level,scenario_path,scenario_type,primary_domain,operational_focus,target_resource,telemetry_signals,infrastructure_components,detection_inputs,correlation_context,incident_or_response_flow,recovery_or_validation_actions,evidence_outputs,used_modules,used_adapters
api-gateway-health-monitoring,Api Gateway Health Monitoring,level-1-visibility,scenarios/level-1-visibility/api-gateway-health-monitoring,Visibility / Monitoring,API / Gateway,Detect and expose operational health signals before incident escalation,"API gateway, route, upstream service, client request path",HTTP status code; request latency; gateway timeout; upstream error rate; route availability; request volume,Api Gateway; Route; Upstream Service; Client Request Path; Telemetry Source; Detection Logic; Evidence Output,HTTP status code; request latency; gateway timeout; upstream error rate; route availability; request volume,"Correlate api / gateway signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
application-runtime-monitoring,Application Runtime Monitoring,level-1-visibility,scenarios/level-1-visibility/application-runtime-monitoring,Visibility / Monitoring,Application Runtime,Detect and expose operational health signals before incident escalation,"application process, runtime endpoint, container or VM-hosted service",health endpoint status; process uptime; restart count; HTTP status; request latency; error rate; CPU usage; memory pressure; runtime logs,Application Process; Runtime Endpoint; Container Or Vm-Hosted Service; Telemetry Source; Detection Logic; Evidence Output,health endpoint status; process uptime; restart count; HTTP status; request latency; error rate; CPU usage; memory pressure; runtime logs,"Correlate application runtime signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
audit-log-monitoring,Audit Log Monitoring,level-1-visibility,scenarios/level-1-visibility/audit-log-monitoring,Visibility / Monitoring,Audit / Logging,Detect and expose operational health signals before incident escalation,"audit log source, event stream, policy record, evidence trail",health status; availability signal; latency; error indicator; event log; metric threshold,Audit Log Source; Event Stream; Policy Record; Evidence Trail; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate audit / logging signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
backup-job-monitoring,Backup Job Monitoring,level-1-visibility,scenarios/level-1-visibility/backup-job-monitoring,Visibility / Monitoring,Backup / Recovery,Detect and expose operational health signals before incident escalation,"backup job, backup scheduler, protected workload, backup repository, recovery point",backup job status; last successful backup timestamp; backup duration; failure reason; repository availability; recovery point age,Backup Job; Backup Scheduler; Protected Workload; Backup Repository; Recovery Point; Telemetry Source; Detection Logic; Evidence Output,backup job status; last successful backup timestamp; backup duration; failure reason; repository availability; recovery point age,"Correlate backup / recovery signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
bgp-neighbor-visibility,Bgp Neighbor Visibility,level-1-visibility,scenarios/level-1-visibility/bgp-neighbor-visibility,Visibility / Monitoring,Network / Routing,Detect and expose operational health signals before incident escalation,"BGP neighbor, router, route table, WAN path",link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,Bgp Neighbor; Router; Route Table; Wan Path; Telemetry Source; Detection Logic; Evidence Output,link status; route change; BGP state; packet loss; latency; interface utilization; traffic volume,"Correlate network / routing signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
certificate-expiration-monitoring,Certificate Expiration Monitoring,level-1-visibility,scenarios/level-1-visibility/certificate-expiration-monitoring,Visibility / Monitoring,TLS / Certificate,Detect and expose operational health signals before incident escalation,"TLS certificate, domain endpoint, certificate chain, renewal process",expiration date; days to expiry; certificate chain validity; renewal status; TLS handshake result,Tls Certificate; Domain Endpoint; Certificate Chain; Renewal Process; Telemetry Source; Detection Logic; Evidence Output,expiration date; days to expiry; certificate chain validity; renewal status; TLS handshake result,"Correlate tls / certificate signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
cloud-instance-health-monitoring,Cloud Instance Health Monitoring,level-1-visibility,scenarios/level-1-visibility/cloud-instance-health-monitoring,Visibility / Monitoring,Cloud Instance,Detect and expose operational health signals before incident escalation,"cloud instance, VM, host resource, instance status check",health status; availability signal; latency; error indicator; event log; metric threshold,Cloud Instance; Vm; Host Resource; Instance Status Check; Telemetry Source; Detection Logic; Evidence Output,health status; availability signal; latency; error indicator; event log; metric threshold,"Correlate cloud instance signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
compute-resource-monitoring,Compute Resource Monitoring,level-1-visibility,scenarios/level-1-visibility/compute-resource-monitoring,Visibility / Monitoring,Compute / Resource,Detect and expose operational health signals before incident escalation,"compute node, instance, CPU, memory, disk, runtime host",CPU usage; memory usage; disk pressure; instance status; host health; reboot event; availability state,Compute Node; Instance; Cpu; Memory; Disk; Runtime Host; Telemetry Source; Detection Logic; Evidence Output,CPU usage; memory usage; disk pressure; instance status; host health; reboot event; availability state,"Correlate compute / resource signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
container-runtime-visibility,Container Runtime Visibility,level-1-visibility,scenarios/level-1-visibility/container-runtime-visibility,Visibility / Monitoring,Container / Runtime,Detect and expose operational health signals before incident escalation,"container runtime, pod, workload, node, image runtime",pod phase; restart count; container exit code; readiness status; liveness status; CPU usage; memory pressure,Container Runtime; Pod; Workload; Node; Image Runtime; Telemetry Source; Detection Logic; Evidence Output,pod phase; restart count; container exit code; readiness status; liveness status; CPU usage; memory pressure,"Correlate container / runtime signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
database-health-monitoring,Database Health Monitoring,level-1-visibility,scenarios/level-1-visibility/database-health-monitoring,Visibility / Monitoring,Database,Detect and expose operational health signals before incident escalation,"database instance, query workload, replication channel, storage backend",query latency; connection count; lock wait; replication lag; transaction error; database availability; storage I/O,Database Instance; Query Workload; Replication Channel; Storage Backend; Telemetry Source; Detection Logic; Evidence Output,query latency; connection count; lock wait; replication lag; transaction error; database availability; storage I/O,"Correlate database signals with related infrastructure state, dependencies, recent events, and service impact.",Detect and expose operational health signals before incident escalation,"Validate stable state, evidence completeness, and operational readiness after detection, analysis, response, or recovery.",summary.md; execution-evidence.md; validation-evidence.md; artifact-manifest.json; artifact-checksums.json,Telemetry Aggregation Module; Health Signal Collection Module; Visibility Reporting Module,Prometheus Adapter; Grafana Adapter
